move,observations,time step
"[0.1,0.0]","[[1.417286703393545, 2.3783791755209287], [1.008246005769369, 1.56062217351896], [1.411320320090445, 0.7745224069802594], [0.9992988393731637, 3.1536884384921424], [1.0058983495687457, -1.571124048065935], [1.4084732140157816, -0.7630779666948492]]",0.2
"[0.1,0.0]","[[1.4340935555705423, 2.343178885594363], [0.9972687525326484, 1.6387082475413948], [1.4020743457115352, 0.779915284059992], [1.0140423114094912, 3.178364853778997], [1.0004147304332023, -1.5783923598962895], [1.377372326668686, -0.7558627048960654]]",0.2
"[0.1,0.0]","[[1.436940649196002, 2.3756996839271594], [1.0013792373961057, 1.6238979639945759], [1.3788419520595083, 0.7851093294423613], [1.037047112660897, 3.1446214343264334], [1.0012976662645448, -1.615624875816968], [1.3806009330098477, -0.8105138289784617]]",0.2
"[0.1,0.0]","[[1.4568757669203114, 2.3818212034979664], [1.0076230546942184, 1.6551909833032328], [1.3862075329734618, 0.806634560185348], [1.0313182608119489, 3.14625787361993], [1.0157291136984696, -1.625414198102457], [1.3655418785012667, -0.8355507840175787]]",0.2
"[0.1,0.0]","[[1.4467529341306693, 2.4014284201235885], [0.9994605747115927, 1.6389916901839021], [1.3558349093949043, 0.8360126664002115], [1.0861780644638845, 3.126998985226065], [1.023160100438156, -1.6626228896121475], [1.3642988660754711, -0.8279412964562515]]",0.2
"[0.1,0.0]","[[1.4950764832463537, 2.425660138815842], [0.9890532602658286, 1.6785037255382322], [1.3452605258022141, 0.8388719911784732], [1.108668157814435, 3.1305996941885077], [0.9927215341194776, -1.685131040149924], [1.323246581823125, -0.8399839116132738]]",0.2
"[0.1,0.0]","[[0.9874760444822442, 1.6894084249120414], [1.3388724484524657, 0.8500320166359044], [1.134536604210719, 3.1633451719780705], [1.0064333403031367, -1.7037877745268355], [1.3336146830212035, -0.8496499202967509]]",0.2
"[0.1,0.0]","[[1.0205894306730643, 1.7271929919320794], [1.315197381276187, 0.8427906617278549], [1.143827608718006, 3.1608160101980043], [0.9958683335373316, -1.7066264383109138], [1.2985620667288056, -0.863793338734076]]",0.2
"[0.1,0.0]","[[1.0136440996385718, 1.71582955215407], [1.3085798783889209, 0.8929681745834134], [1.174147807561741, 3.174080000028227], [1.0155420136472115, -1.720539361436698], [1.282544879795027, -0.8183940059028918]]",0.2
"[0.1,0.0]","[[1.0303728814162394, 1.7279499137728673], [1.2868593924661544, 0.8746276539006703], [1.1782074938543885, 3.1858911743809464], [1.0185569429709203, -1.7142524366147127], [1.3060669955763804, -0.8914255056220525]]",0.2
"[0.1,0.0]","[[1.0263168357598247, 1.774021818097], [1.2876535738765764, 0.9184732075404612], [1.1921380057658835, 3.168833753118195], [1.0140781188197368, -1.7939205837131713], [1.2834005765196776, -0.9315236212344009]]",0.2
"[0.1,0.0]","[[1.038942534499011, 1.7938236797671152], [1.2749589720332042, 0.9107416951474652], [1.224971497841794, 3.130401932279458], [1.0627787920049965, -1.786549577333881], [1.2777180958688599, -0.9122639622517446]]",0.2
"[0.1,0.0]","[[1.0445711390102899, 1.8043449309790753], [1.2613600556151419, 0.9275793771453364], [1.2121709447590638, 3.137824930599457], [1.032459456231003, -1.7874499078478323], [1.2445508218595076, -0.9153099050099031]]",0.2
"[0.1,0.0]","[[1.0347814033872627, 1.8119013613577404], [1.2307613241730258, 0.952292198286894], [1.2430699299279448, 3.1765565410434293], [1.026383146946253, -1.8232802159487749], [1.2311329836074014, -0.9784694591563167]]",0.2
"[0.1,0.0]","[[1.0326610364756479, 1.8486523215400155], [1.235265793305126, 0.96658480153767], [1.2855655902550887, 3.1420957422692224], [1.0257721644530222, -1.8513606311943915], [1.243791971381268, -0.9400233261854815]]",0.2
"[0.1,0.0]","[[1.0400388280197026, 1.845488696506281], [1.2312484467618798, 0.9966117288868134], [1.2931308032976998, 3.1239694492024737], [1.0447697144342787, -1.8388843686298402], [1.2247658433434896, -0.9485245548377184]]",0.2
"[0.1,0.0]","[[1.032196385144664, 1.8745853931839946], [1.2149231745075355, 0.9799517214751567], [1.3030825819176874, 3.1305731029937616], [1.0305635831506281, -1.8836001970608465], [1.1973266652057117, -0.9553299330411387]]",0.2
"[0.1,0.0]","[[1.0561016158502035, 1.9333142571463913], [1.1952317151587892, 0.9833665045480648], [1.3476764518140814, 3.137800980746613], [1.0687937622618529, -1.88155935066796], [1.1928890439421118, -0.982482548639887]]",0.2
"[0.1,0.0]","[[1.0656027507708958, 1.8933157987511926], [1.1839614114479962, 0.9938325257037082], [1.3570639555261288, 3.1630442418629645], [1.0653790961303589, -1.8685777139183744], [1.1759362447135013, -0.9929964640575334]]",0.2
"[0.1,0.0]","[[1.0530771423718521, 1.9553032471887388], [1.1667188846399044, 1.0226876810598313], [1.3683938335651715, 3.137372487663908], [1.0877841454601962, -1.9211593468547243], [1.1843599591493936, -1.0217546865679634]]",0.2
"[0.1,0.0]","[[1.0839296979572812, 1.9560131684245734], [1.153085594153959, 1.028586481316293], [1.4117344091581354, 3.145551151737879], [1.0668276136126162, -1.9613628226177624], [1.1734727753798004, -1.0171006227069594]]",0.2
