move,observations,time step
"[0.1,0.0]","[[1.408028285268046, 2.3670384141814185], [1.0129137528112873, 1.5641036918378686], [1.4076741682522202, 0.7977731660020051], [1.0002610673216905, 3.133467163930514], [1.0110699087687467, -1.5743745851502144], [1.4144040309456756, -0.8010380743567137]]",0.2
"[0.1,0.0]","[[1.401190060165014, 2.351371710348908], [0.9989435409410501, 1.5770432834615753], [1.3989936663612674, 0.7869296201970272], [1.0217182062401333, 3.120147394821893], [1.004539652528453, -1.6077504007102321], [1.3849254417391024, -0.81097234770807]]",0.2
"[0.1,0.0]","[[1.4269251162684327, 2.3678398385573227], [1.0196139044184775, 1.5814530740533774], [1.3773451771348995, 0.7708413745529561], [1.0414993641205763, 3.143528692073605], [1.0146076552838188, -1.608298661074927], [1.3828365607154487, -0.7829306484471774]]",0.2
"[0.1,0.0]","[[1.4450194705133002, 2.3566989588138068], [1.0206705436680314, 1.606504072578915], [1.373944327000899, 0.8006148515678763], [1.0459981356698242, 3.136059266548813], [0.9928277595316297, -1.6296513499783656], [1.379079647020936, -0.8350164985414671]]",0.2
"[0.1,0.0]","[[1.4743170381790822, 2.4034635736500998], [0.9958055764188505, 1.6843007443482505], [1.357465614280003, 0.813989509758501], [1.060834397960132, 3.1567934889859695], [0.996341280543217, -1.6835122340105535], [1.3632284062627007, -0.8259958861827813]]",0.2
"[0.1,0.0]","[[1.4693188000990358, 2.3899555636395693], [0.9998430684725919, 1.6692070559829244], [1.3468302448395966, 0.8180180966087737], [1.1111779540252023, 3.1271895626724957], [1.0036088561940462, -1.6457316043813104], [1.3570370796988453, -0.861389349006961]]",0.2
"[0.1,0.0]","[[1.0122026675003455, 1.6924504382966588], [1.3405885078029716, 0.8699931080036225], [1.127252071856092, 3.138020525083954], [1.0037175267738436, -1.6988484033637392], [1.3340219375846574, -0.8485870889146098]]",0.2
"[0.1,0.0]","[[1.013156592680838, 1.7347665590452082], [1.3169917011375423, 0.8650352766802606], [1.1487533594136106, 3.1444373247689392], [0.9972438853758385, -1.7011077158918695], [1.2993507642287128, -0.8935049571575491]]",0.2
"[0.1,0.0]","[[1.0226572648051735, 1.7198662284476405], [1.299252778273067, 0.8803148437319671], [1.1654156866230523, 3.0869195349633896], [1.0116671662885341, -1.7346842281226376], [1.2995205310210718, -0.8668111752372049]]",0.2
"[0.1,0.0]","[[1.0297309019885112, 1.7498826798021347], [1.2896796424682022, 0.915452052732486], [1.1697909588015363, 3.1550722613024287], [1.014908357786415, -1.7364388239340285], [1.3002696454915126, -0.8764123654825751]]",0.2
"[0.1,0.0]","[[1.0268720740794872, 1.7558153559405223], [1.2611664842568204, 0.8763145181907368], [1.1870498429206728, 3.179558219307606], [1.0187380413112288, -1.758660104608713], [1.2862475506760562, -0.8881228869384374]]",0.2
"[0.1,0.0]","[[1.029497095186171, 1.7404760247356863], [1.2677762835050508, 0.9047522519166443], [1.2173482020971191, 3.141097046218586], [1.040816396366184, -1.7789061894488467], [1.2523887477350821, -0.8974427965945244]]",0.2
"[0.1,0.0]","[[1.014437023252871, 1.7999664258862877], [1.2574248003886628, 0.9215725958326697], [1.233282341613518, 3.1286567361927955], [1.0366356004696766, -1.803262419164653], [1.277773732515035, -0.9110328278136203]]",0.2
"[0.1,0.0]","[[1.0291081725165456, 1.8251349772050594], [1.238106941784943, 0.9287383811075256], [1.270973206526928, 3.152199468592712], [1.028592113758021, -1.816362582471355], [1.2358815269821983, -0.962414491271746]]",0.2
"[0.1,0.0]","[[1.0392735185795088, 1.8408835165092057], [1.2257543827027153, 0.9790554599230337], [1.2846894147378753, 3.179580108653418], [1.0393642533954799, -1.8465939502295616], [1.2322512490459545, -0.9592729537186013]]",0.2
"[0.1,0.0]","[[1.036304977644208, 1.8487442112798425], [1.2198497631122183, 0.9501376576297328], [1.28152502646822, 3.157731570821125], [1.0270457911264248, -1.8301059774966504], [1.2249107664408003, -0.9891343854590794]]",0.2
"[0.1,0.0]","[[1.0436825369897396, 1.9270296201398125], [1.203384063941873, 0.9656352697232107], [1.3169819439294852, 3.1666735215605666], [1.0546677818450187, -1.9092922971741395], [1.2122832929264924, -0.9448086443602746]]",0.2
"[0.1,0.0]","[[1.0564178475630022, 1.8898239141251034], [1.1906137857720571, 1.0115818160519852], [1.3487518719073994, 3.1585808354255955], [1.070916101208914, -1.8835994070018778], [1.1993027558504332, -1.0105606958363758]]",0.2
"[0.1,0.0]","[[1.0703110870904535, 1.9259778023630778], [1.188095970412047, 0.9872044335597027], [1.362785685169571, 3.104334422064611], [1.056790286902039, -1.904321970959416], [1.1960950926522866, -1.033353504904953]]",0.2
"[0.1,0.0]","[[1.0599293245104113, 1.9354243519258467], [1.1838019288031123, 1.0018842594918487], [1.395778592791873, 3.175798595034314], [1.0530690359629962, -1.9214441022711093], [1.1837214827857467, -0.9950684950425676]]",0.2
"[0.1,0.0]","[[1.0868155470245326, 1.927937666847171], [1.1675656994486565, 1.041646964258824], [1.3715064672806891, 3.154872238770531], [1.078957369647683, -1.9589703273523722], [1.1736889410510767, -1.0223172909066565]]",0.2
"[0.1,0.0]","[[1.0796226266101014, 1.9520559882873014], [1.1587860385063193, 1.0606490892766884], [1.4098357971561086, 3.1403615007057173], [1.0739589351334973, -2.0028105515165766], [1.147555155605487, -1.0363789480028058]]",0.2
"[0.1,0.0]","[[1.0977861380123073, 1.9877432591768713], [1.154784518043007, 1.053734040862122], [1.440146418277555, 3.121170585735046], [1.1043439800598804, -1.9703809768080331], [1.1565627548221276, -1.0836551453674428]]",0.2
"[0.1,0.0]","[[1.1071331519298955, 1.9833461748225578], [1.1315450480084426, 1.0742261046053148], [1.455716223684892, 3.150189094245238], [1.110304904742156, -2.028752610680254], [1.1375323666733168, -1.0693354596520992]]",0.2
